club_key,grade_key,display_name,squad_number,playhq_id
oakdale-netball-club-sa,amnd-winter-2000-inter-3,Oakdale,,archive:amnd-winter-2000:inter-3:oakdale-netball-club-sa:none
glandore,amnd-winter-2000-inter-3,Glandore,,archive:amnd-winter-2000:inter-3:glandore:none
contax,amnd-winter-2000-inter-4,Contax,,archive:amnd-winter-2000:inter-4:contax:none
matrics,amnd-winter-2000-inter-4,Matrics,,archive:amnd-winter-2000:inter-4:matrics:none
garville,amnd-winter-2000-inter-4,Garville,,archive:amnd-winter-2000:inter-4:garville:none
cheerio-netball-club,amnd-winter-2000-inter-4,Cheerio,,archive:amnd-winter-2000:inter-4:cheerio-netball-club:none
tango-netball-club-inc,amnd-winter-2000-inter-4,Tango,,archive:amnd-winter-2000:inter-4:tango-netball-club-inc:none
clovelly-park,amnd-winter-2000-inter-4,Clovelly Park,,archive:amnd-winter-2000:inter-4:clovelly-park:none
adelaide-cougars,amnd-winter-2000-inter-4,Adelaide Cougars,,archive:amnd-winter-2000:inter-4:adelaide-cougars:none
woods-panthers,amnd-winter-2000-inter-4,Woods Panthers,,archive:amnd-winter-2000:inter-4:woods-panthers:none
oakdale-netball-club-sa,amnd-winter-2000-inter-4,Oakdale,,archive:amnd-winter-2000:inter-4:oakdale-netball-club-sa:none
garville,amnd-winter-2000-junior-1,Garville,,archive:amnd-winter-2000:junior-1:garville:none
matrics,amnd-winter-2000-junior-1,Matrics,,archive:amnd-winter-2000:junior-1:matrics:none
cheerio-netball-club,amnd-winter-2000-junior-1,Cheerio,,archive:amnd-winter-2000:junior-1:cheerio-netball-club:none
adelaide-cougars,amnd-winter-2000-junior-1,Adelaide Cougars,,archive:amnd-winter-2000:junior-1:adelaide-cougars:none
woods-panthers,amnd-winter-2000-junior-1,Woods Panthers,,archive:amnd-winter-2000:junior-1:woods-panthers:none
contax,amnd-winter-2000-junior-1,Contax,1,archive:amnd-winter-2000:junior-1:contax:1
contax,amnd-winter-2000-junior-1,Contax,2,archive:amnd-winter-2000:junior-1:contax:2
tango-netball-club-inc,amnd-winter-2000-junior-1,Tango,,archive:amnd-winter-2000:junior-1:tango-netball-club-inc:none
harlequin,amnd-winter-2000-junior-1,Harlequin,,archive:amnd-winter-2000:junior-1:harlequin:none
norwood-netball-club,amnd-winter-2000-junior-1,Newton Jaguars,,archive:amnd-winter-2000:junior-1:norwood-netball-club:none
tango-netball-club-inc,amnd-winter-2000-junior-2,Tango,,archive:amnd-winter-2000:junior-2:tango-netball-club-inc:none
cheerio-netball-club,amnd-winter-2000-junior-2,Cheerio,,archive:amnd-winter-2000:junior-2:cheerio-netball-club:none
garville,amnd-winter-2000-junior-2,Garville,,archive:amnd-winter-2000:junior-2:garville:none
matrics,amnd-winter-2000-junior-2,Matrics,,archive:amnd-winter-2000:junior-2:matrics:none
norwood-netball-club,amnd-winter-2000-junior-2,Newton Jaguars,,archive:amnd-winter-2000:junior-2:norwood-netball-club:none
contax,amnd-winter-2000-junior-2,Contax,,archive:amnd-winter-2000:junior-2:contax:none
adelaide-cougars,amnd-winter-2000-junior-2,Adelaide Cougars,,archive:amnd-winter-2000:junior-2:adelaide-cougars:none
harlequin,amnd-winter-2000-junior-2,Harlequin,,archive:amnd-winter-2000:junior-2:harlequin:none
oakdale-netball-club-sa,amnd-winter-2000-junior-2,Oakdale,,archive:amnd-winter-2000:junior-2:oakdale-netball-club-sa:none
woods-panthers,amnd-winter-2000-junior-2,Woods Panthers,,archive:amnd-winter-2000:junior-2:woods-panthers:none
garville,amnd-winter-2000-junior-3,Garville,,archive:amnd-winter-2000:junior-3:garville:none
tango-netball-club-inc,amnd-winter-2000-junior-3,Tango,,archive:amnd-winter-2000:junior-3:tango-netball-club-inc:none
brahma-united,amnd-winter-2000-junior-3,Brahma United,,archive:amnd-winter-2000:junior-3:brahma-united:none
glandore,amnd-winter-2000-junior-3,Glandore,,archive:amnd-winter-2000:junior-3:glandore:none
contax,amnd-winter-2000-junior-3,Contax,,archive:amnd-winter-2000:junior-3:contax:none
oakdale-netball-club-sa,amnd-winter-2000-junior-3,Oakdale,,archive:amnd-winter-2000:junior-3:oakdale-netball-club-sa:none
woods-panthers,amnd-winter-2000-junior-3,Woods Panthers,,archive:amnd-winter-2000:junior-3:woods-panthers:none
cheerio-netball-club,amnd-winter-2000-junior-3,Cheerio,,archive:amnd-winter-2000:junior-3:cheerio-netball-club:none
garville,amnd-winter-2000-junior-4,Garville,,archive:amnd-winter-2000:junior-4:garville:none
norwood-netball-club,amnd-winter-2000-junior-4,Newton Jaguars,,archive:amnd-winter-2000:junior-4:norwood-netball-club:none
adelaide-cougars,amnd-winter-2000-junior-4,Adelaide Cougars,,archive:amnd-winter-2000:junior-4:adelaide-cougars:none
matrics,amnd-winter-2000-junior-4,Matrics,,archive:amnd-winter-2000:junior-4:matrics:none
contax,amnd-winter-2000-junior-4,Contax,,archive:amnd-winter-2000:junior-4:contax:none
cheerio-netball-club,amnd-winter-2000-junior-4,Cheerio,,archive:amnd-winter-2000:junior-4:cheerio-netball-club:none
woods-panthers,amnd-winter-2000-junior-4,Woods Panthers,,archive:amnd-winter-2000:junior-4:woods-panthers:none
harlequin,amnd-winter-2000-junior-4,Harlequin,,archive:amnd-winter-2000:junior-4:harlequin:none
garville,amnd-winter-2000-junior-5,Garville,,archive:amnd-winter-2000:junior-5:garville:none
contax,amnd-winter-2000-junior-5,Contax,,archive:amnd-winter-2000:junior-5:contax:none
adelaide-cougars,amnd-winter-2000-junior-5,Adelaide Cougars,,archive:amnd-winter-2000:junior-5:adelaide-cougars:none
glandore,amnd-winter-2000-junior-5,Glandore,,archive:amnd-winter-2000:junior-5:glandore:none
matrics,amnd-winter-2000-junior-5,Matrics,,archive:amnd-winter-2000:junior-5:matrics:none
oakdale-netball-club-sa,amnd-winter-2000-junior-5,Oakdale,,archive:amnd-winter-2000:junior-5:oakdale-netball-club-sa:none
woods-panthers,amnd-winter-2000-junior-5,Woods Panthers,,archive:amnd-winter-2000:junior-5:woods-panthers:none
