grade_key,club_key,squad_number,playhq_id,display_name,ladder_position,position_uncertain,played,won,drawn,lost,byes,goals_for,goals_against,goal_difference,points,percentage,shots_attempted,shots_scored,source,placement_basis,notes,scraped_at
amnd-winter-2000-inter-1,oakdale-netball-club-sa,,archive:amnd-winter-2000:inter-1:oakdale-netball-club-sa:none,Oakdale,5,0,,,,,,,,,,,,,archive_pdf,final_premiership_placings,Archive PDF title: Final Placings,
amnd-winter-2000-inter-1,cheerio-netball-club,,archive:amnd-winter-2000:inter-1:cheerio-netball-club:none,Cheerio,6,0,,,,,,,,,,,,,archive_pdf,final_premiership_placings,Archive PDF title: Final Placings,
amnd-winter-2000-inter-1,woods-panthers,,archive:amnd-winter-2000:inter-1:woods-panthers:none,Woods Panthers,7,0,,,,,,,,,,,,,archive_pdf,final_premiership_placings,Archive PDF title: Final Placings,
amnd-winter-2000-inter-1,matrics,2,archive:amnd-winter-2000:inter-1:matrics:2,Matrics,8,0,,,,,,,,,,,,,archive_pdf,final_premiership_placings,Archive PDF title: Final Placings,
amnd-winter-2000-inter-1,garville,,archive:amnd-winter-2000:inter-1:garville:none,Garville,9,0,,,,,,,,,,,,,archive_pdf,final_premiership_placings,Archive PDF title: Final Placings,
amnd-winter-2000-inter-1,adelaide-cougars,,archive:amnd-winter-2000:inter-1:adelaide-cougars:none,Adelaide Cougars,10,0,,,,,,,,,,,,,archive_pdf,final_premiership_placings,Archive PDF title: Final Placings,
amnd-winter-2000-inter-2,contax,1,archive:amnd-winter-2000:inter-2:contax:1,Contax,1,1,,,,,,,,,,,,,archive_pdf,final_premiership_placings,Archive PDF title: Final Placings,
amnd-winter-2000-inter-2,tango-netball-club-inc,,archive:amnd-winter-2000:inter-2:tango-netball-club-inc:none,Tango,2,1,,,,,,,,,,,,,archive_pdf,final_premiership_placings,Archive PDF title: Final Placings,
amnd-winter-2000-inter-2,matrics,,archive:amnd-winter-2000:inter-2:matrics:none,Matrics,3,1,,,,,,,,,,,,,archive_pdf,final_premiership_placings,Archive PDF title: Final Placings,
amnd-winter-2000-inter-2,adelaide-cougars,,archive:amnd-winter-2000:inter-2:adelaide-cougars:none,Adelaide Cougars,4,1,,,,,,,,,,,,,archive_pdf,final_premiership_placings,Archive PDF title: Final Placings,
amnd-winter-2000-inter-2,contax,2,archive:amnd-winter-2000:inter-2:contax:2,Contax,5,0,,,,,,,,,,,,,archive_pdf,final_premiership_placings,Archive PDF title: Final Placings,
